Date,Team,Opponent,Covered,Prediction,Vegas Line,Result,Prediction
3/30/2022,SAC,HOU,0,0,SAC -3.0,HOU 3,HOU 3
3/30/2022,HOU,SAC,0,1,HOU 3.0,SAC -3,HOU 3.0
3/30/2022,ORL,WAS,0,0,ORL 4.0,WAS -4,WAS -4
3/30/2022,NYK,CHO,0,1,NYK 2.5,CHO -2,NYK 2.5
3/30/2022,GSW,PHO,1,0,GSW 5.0,GSW 5.0,PHO -5
3/30/2022,DAL,CLE,1,1,DAL -2.0,DAL -2.0,DAL -2.0
3/30/2022,CHO,NYK,1,0,CHO -2.5,CHO -2.5,NYK 2
3/30/2022,TOR,MIN,1,1,TOR -2.5,TOR -2.5,TOR -2.5
3/30/2022,DEN,IND,0,0,DEN -10.0,IND 10,IND 10
3/30/2022,SAS,MEM,1,1,SAS 5.0,SAS 5.0,SAS 5.0
3/29/2022,WAS,CHI,0,0,WAS 4.0,CHI -4,CHI -4
3/29/2022,LAC,UTA,1,0,LAC 2.5,LAC 2.5,UTA -2
3/29/2022,DET,BRK,1,1,DET 13.5,DET 13.5,DET 13.5
3/29/2022,MIL,PHI,1,0,MIL -0.0,MIL -0.0,PHI 0
3/29/2022,BRK,DET,0,0,BRK -13.5,DET 13,DET 13
3/29/2022,DAL,LAL,1,0,DAL -12.0,DAL -12.0,LAL 12
3/29/2022,LAL,DAL,0,1,LAL 12.0,DAL -12,LAL 12.0
3/29/2022,PHI,MIL,0,1,PHI 0.0,MIL 0,PHI 0.0
3/29/2022,UTA,LAC,0,0,UTA -2.5,LAC 2,LAC 2
3/28/2022,NYK,CHI,1,1,NYK 3.5,NYK 3.5,NYK 3.5
3/28/2022,SAS,HOU,0,0,SAS -9.5,HOU 9,HOU 9
3/28/2022,OKC,POR,1,0,OKC 1.5,OKC 1.5,POR -1
3/28/2022,BOS,TOR,1,1,BOS 8.5,BOS 8.5,BOS 8.5
3/28/2022,ORL,CLE,1,1,ORL 8.5,ORL 8.5,ORL 8.5
3/28/2022,MEM,GSW,1,1,MEM -9.5,MEM -9.5,MEM -9.5
3/28/2022,GSW,MEM,0,0,GSW 9.5,MEM -9,MEM -9
3/28/2022,TOR,BOS,0,1,TOR -8.5,BOS 8,TOR -8.5
3/28/2022,CHO,DEN,0,1,CHO 3.5,DEN -3,CHO 3.5
3/28/2022,IND,ATL,0,0,IND 7.5,ATL -7,ATL -7
3/28/2022,MIA,SAC,1,0,MIA -14.0,MIA -14.0,SAC 14
3/28/2022,CHI,NYK,0,0,CHI 3.5,NYK -3,NYK -3
3/28/2022,SAC,MIA,0,0,SAC 14.0,MIA -14,MIA -14
3/28/2022,HOU,SAS,1,1,HOU 9.5,HOU 9.5,HOU 9.5
3/28/2022,POR,OKC,0,0,POR -1.5,OKC 1,OKC 1
3/28/2022,CLE,ORL,0,0,CLE -8.5,ORL 8,ORL 8
3/28/2022,DEN,CHO,1,0,DEN -3.5,DEN -3.5,CHO 3
3/28/2022,ATL,IND,1,0,ATL -7.5,ATL -7.5,IND 7
3/27/2022,GSW,WAS,0,0,GSW -7.0,WAS 7,WAS 7
3/27/2022,LAL,NOP,0,0,LAL 4.0,NOP -4,NOP -4
3/27/2022,DET,NYK,1,1,DET 4.5,DET 4.5,DET 4.5
3/27/2022,DAL,UTA,1,0,DAL -4.0,DAL -4.0,UTA 4
3/27/2022,BOS,MIN,1,1,BOS -6.5,BOS -6.5,BOS -6.5
3/27/2022,UTA,DAL,0,0,UTA 4.0,DAL -4,DAL -4
3/27/2022,WAS,GSW,1,1,WAS 7.0,WAS 7.0,WAS 7.0
3/27/2022,CHO,BRK,1,1,CHO 7.0,CHO 7.0,CHO 7.0
3/27/2022,NOP,LAL,1,1,NOP -4.0,NOP -4.0,NOP -4.0
3/27/2022,PHI,PHO,0,1,PHI 4.5,PHO -4,PHI 4.5
3/27/2022,PHO,PHI,1,1,PHO -4.5,PHO -4.5,PHO -4.5
3/27/2022,NYK,DET,0,0,NYK -4.5,DET 4,DET 4
3/27/2022,BRK,CHO,0,0,BRK -7.0,CHO 7,CHO 7
3/27/2022,MIN,BOS,0,1,MIN 6.5,BOS -6,MIN 6.5
3/26/2022,MEM,MIL,1,1,MEM 1.0,MEM 1.0,MEM 1.0
3/26/2022,MIL,MEM,0,0,MIL -1.0,MEM 1,MEM 1
3/26/2022,BRK,MIA,1,0,BRK -2.5,BRK -2.5,MIA 2
3/26/2022,SAS,NOP,1,1,SAS 6.0,SAS 6.0,SAS 6.0
3/26/2022,DEN,OKC,0,0,DEN -17.0,OKC 17,OKC 17
3/26/2022,CLE,CHI,0,0,CLE -2.0,CHI 2,CHI 2
3/26/2022,TOR,IND,1,0,TOR -12.0,TOR -12.0,IND 12
3/26/2022,HOU,POR,1,0,HOU -4.5,HOU -4.5,POR 4
3/26/2022,ORL,SAC,0,0,ORL -2.0,SAC 2,SAC 2
3/26/2022,NOP,SAS,0,1,NOP -6.0,SAS 6,NOP -6.0
3/26/2022,POR,HOU,0,0,POR 4.5,HOU -4,HOU -4
3/26/2022,IND,TOR,0,0,IND 12.0,TOR -12,TOR -12
3/26/2022,OKC,DEN,1,1,OKC 17.0,OKC 17.0,OKC 17.0
3/26/2022,MIA,BRK,0,0,MIA 2.5,BRK -2,BRK -2
3/26/2022,SAC,ORL,1,0,SAC 2.0,SAC 2.0,ORL -2
3/25/2022,LAC,PHI,0,0,LAC 5.0,PHI -5,PHI -5
3/25/2022,WAS,DET,1,0,WAS 4.0,WAS 4.0,DET -4
3/25/2022,ATL,GSW,1,1,ATL -2.0,ATL -2.0,ATL -2.0
3/25/2022,CHO,UTA,1,1,CHO 4.0,CHO 4.0,CHO 4.0
3/25/2022,DAL,MIN,0,0,DAL 4.0,MIN -4,MIN -4
3/25/2022,NYK,MIA,1,1,NYK 9.5,NYK 9.5,NYK 9.5
3/25/2022,POR,HOU,0,0,POR 4.5,HOU -4,HOU -4
3/25/2022,MIA,NYK,0,0,MIA -9.5,NYK 9,NYK 9
3/25/2022,UTA,CHO,0,0,UTA -4.0,CHO 4,CHO 4
3/25/2022,DET,WAS,0,1,DET -4.0,WAS 4,DET -4.0
3/25/2022,GSW,ATL,0,0,GSW 2.0,ATL -2,ATL -2
3/25/2022,PHI,LAC,1,1,PHI -5.0,PHI -5.0,PHI -5.0
3/25/2022,HOU,POR,1,0,HOU -4.5,HOU -4.5,POR 4
3/25/2022,MIN,DAL,1,1,MIN -4.0,MIN -4.0,MIN -4.0
3/24/2022,PHO,DEN,1,1,PHO 1.0,PHO 1.0,PHO 1.0
3/24/2022,MIL,WAS,1,1,MIL -8.5,MIL -8.5,MIL -8.5
3/24/2022,MEM,IND,1,1,MEM -11.5,MEM -11.5,MEM -11.5
3/24/2022,NOP,CHI,1,1,NOP -3.0,NOP -3.0,NOP -3.0
3/24/2022,WAS,MIL,0,0,WAS 8.5,MIL -8,MIL -8
3/24/2022,TOR,CLE,1,0,TOR -5.5,TOR -5.5,CLE 5
3/24/2022,DEN,PHO,0,0,DEN -1.0,PHO 1,PHO 1
3/24/2022,CLE,TOR,0,0,CLE 5.5,TOR -5,TOR -5
3/24/2022,IND,MEM,0,1,IND 11.5,MEM -11,IND 11.5
3/23/2022,MEM,BRK,1,1,MEM 1.0,MEM 1.0,MEM 1.0
3/23/2022,LAL,PHI,1,1,LAL 9.5,LAL 9.5,LAL 9.5
3/23/2022,CHO,NYK,0,1,CHO -8.5,NYK 8,CHO -8.5
3/23/2022,UTA,BOS,0,1,UTA 5.0,BOS -5,UTA 5.0
3/23/2022,IND,SAC,0,0,IND -6.0,SAC 6,SAC 6
3/23/2022,SAC,IND,1,0,SAC 6.0,SAC 6.0,IND -6
3/23/2022,POR,SAS,0,0,POR 9.5,SAS -9,SAS -9
3/23/2022,HOU,DAL,0,0,HOU 10.0,DAL -10,DAL -10
3/23/2022,GSW,MIA,1,1,GSW 10.0,GSW 10.0,GSW 10.0
3/23/2022,DET,ATL,1,1,DET 5.0,DET 5.0,DET 5.0
3/23/2022,DAL,HOU,1,0,DAL -10.0,DAL -10.0,HOU 10
3/23/2022,MIA,GSW,0,0,MIA -10.0,GSW 10,GSW 10
3/23/2022,PHI,LAL,0,0,PHI -9.5,LAL 9,LAL 9
3/23/2022,NYK,CHO,1,1,NYK 8.5,NYK 8.5,NYK 8.5
3/23/2022,BRK,MEM,0,1,BRK -1.0,MEM 1,BRK -1.0
3/23/2022,BOS,UTA,1,1,BOS -5.0,BOS -5.0,BOS -5.0
3/23/2022,SAS,POR,1,0,SAS -9.5,SAS -9.5,POR 9
3/23/2022,ORL,OKC,0,0,ORL -2.5,OKC 2,OKC 2
3/23/2022,OKC,ORL,1,0,OKC 2.5,OKC 2.5,ORL -2
3/23/2022,PHO,MIN,1,1,PHO 2.0,PHO 2.0,PHO 2.0
3/23/2022,ATL,DET,0,0,ATL -5.0,DET 5,DET 5
3/23/2022,MIN,PHO,0,1,MIN -2.0,PHO 2,MIN -2.0
3/22/2022,GSW,ORL,0,0,GSW -7.5,ORL 7,ORL 7
3/22/2022,NYK,ATL,0,1,NYK 3.5,ATL -3,NYK 3.5
3/22/2022,MIL,CHI,1,0,MIL -6.5,MIL -6.5,CHI 6
3/22/2022,DEN,LAC,1,0,DEN -6.5,DEN -6.5,LAC 6
